| Project   | Id      | Compiled | Equivalent | # wb ok | # wb ko | # bb ok | # bb ko | # ok | # ko |
| smallest  | fe9 001 | -        | False      |       4 |       4 |       0 |       8 |    4 |   12 |
| smallest  | fe9 006 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| median    | d00 006 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | d00 000 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| checksum  | 659 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 659 003 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| grade     | af8 007 | -        | False      |       2 |       7 |       2 |       7 |    4 |   14 |
| checksum  | 1b3 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | af8 001 | -        | False      |       2 |       7 |       0 |       9 |    2 |   16 |
| median    | 3cf 013 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| syllables | 593 003 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| grade     | af8 011 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | 90a 000 | -        | False      |       0 |       8 |       1 |       7 |    1 |   15 |
| smallest  | 90a 001 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| median    | 97f 000 | -        | False      |       5 |       1 |       3 |       4 |    8 |    5 |
| digits    | ca9 002 | -        | False      |       1 |       9 |       1 |       5 |    2 |   14 |
| digits    | ca9 000 | -        | False      |       0 |      10 |       1 |       5 |    1 |   15 |
| digits    | ca9 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 97f 008 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| grade     | d63 007 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| digits    | 68e 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 3b2 007 | -        | False      |       6 |       2 |       8 |       0 |   14 |    2 |
| smallest  | 3b2 006 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| median    | 2c1 000 | -        | False      |       4 |       2 |       4 |       3 |    8 |    5 |
| grade     | cb2 002 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | b19 007 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| smallest  | b19 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| digits    | 295 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 2af 003 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| grade     | d00 003 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| median    | d25 007 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| grade     | d00 000 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| median    | d25 002 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| grade     | d00 006 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | d25 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | d25 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | bfa 006 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 8ce 000 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| digits    | 295 003 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | 1b3 002 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | e9c 000 | -        | False      |       1 |       5 |       2 |       5 |    3 |   10 |
| median    | e9c 001 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | e9c 003 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| grade     | 1c2 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 489 007 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| grade     | 0ce 003 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | 0ce 002 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 0ce 001 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 0ce 000 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 317 007 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | ea6 003 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| syllables | bfa 001 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 0ce 008 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| median    | 901 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| syllables | bfa 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | dc1 002 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 90a 000 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | 90a 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | dc1 001 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | bfa 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | e9c 000 | -        | False      |       7 |       3 |       6 |       0 |   13 |    3 |
| digits    | bfa 004 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | 3b2 016 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | fcf 003 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | fcf 002 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | fcf 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| grade     | b19 004 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 317 001 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | b19 000 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| grade     | b19 001 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | b19 003 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| smallest  | 15c 007 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| median    | 953 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| grade     | 68e 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 953 003 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| digits    | 65e 008 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 65e 004 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| median    | 908 003 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| digits    | d50 000 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| smallest  | 070 002 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| median    | 97f 003 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| digits    | 0ce 002 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 0ce 000 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 7b7 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 36d 000 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| checksum  | e9c 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 035 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 818 007 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| smallest  | 97f 003 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| digits    | ff9 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 08c 006 | -        | False      |       0 |      10 |       1 |       5 |    1 |   15 |
| checksum  | 08c 007 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| grade     | 489 010 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 489 012 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| checksum  | 2c1 005 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 2c1 003 | -        | False      |       7 |       3 |       6 |       0 |   13 |    3 |
| digits    | 901 001 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 901 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | 295 010 | -        | False      |       4 |       5 |       4 |       5 |    8 |   10 |
| grade     | 295 014 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | 139 002 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| smallest  | 98d 000 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| digits    | 139 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| syllables | fcf 002 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| digits    | 139 009 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 89b 003 | -        | False      |       5 |       1 |       5 |       2 |   10 |    3 |
| median    | 3cf 007 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| syllables | 489 007 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| median    | 89b 007 | -        | False      |       5 |       1 |       5 |       2 |   10 |    3 |
| grade     | af8 000 | -        | False      |       2 |       7 |       0 |       9 |    2 |   16 |
| grade     | af8 002 | -        | False      |       2 |       7 |       2 |       7 |    4 |   14 |
| smallest  | d9e 014 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| grade     | af8 009 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| digits    | e79 004 | -        | True       |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 93f 000 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | 295 002 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | e79 000 | -        | True       |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 295 000 | -        | False      |       2 |       8 |       4 |       2 |    6 |   10 |
| digits    | e79 002 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| checksum  | 3b2 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 317 004 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 317 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 317 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| checksum  | 3b2 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 68e 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| checksum  | e23 005 | -        | False      |       7 |       3 |       6 |       0 |   13 |    3 |
| checksum  | e23 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 3b2 016 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | e23 010 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 901 000 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| syllables | 68e 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 0ce 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 8c7 003 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| digits    | c5d 003 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| checksum  | 36d 003 | -        | False      |       7 |       3 |       6 |       0 |   13 |    3 |
| grade     | b6f 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | b6f 002 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | 90a 004 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| checksum  | 36d 008 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | a3d 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 90a 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | a3d 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | f8d 000 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| median    | 9c9 012 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| grade     | 769 013 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| median    | 1bf 003 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| median    | 1bf 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| syllables | 15c 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | bfa 001 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| checksum  | a0e 006 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | a0e 005 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| digits    | f94 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | f94 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | f94 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | a0e 000 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| median    | d12 000 | -        | False      |       4 |       2 |       5 |       2 |    9 |    4 |
| median    | d12 001 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| digits    | c9d 001 | -        | False      |       1 |       9 |       1 |       5 |    2 |   14 |
| digits    | c9d 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | c9d 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 0cd 005 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 0cd 004 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 0cd 007 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 0cd 006 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 0cd 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 0cd 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | 97f 009 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 97f 008 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | c9d 000 | -        | False      |       2 |       6 |       2 |       6 |    4 |   12 |
| smallest  | c9d 003 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| smallest  | 75c 000 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| syllables | ded 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | f29 000 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| checksum  | 98d 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | cd2 009 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | cd2 008 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| smallest  | c86 003 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| smallest  | c86 000 | -        | False      |       8 |       0 |       1 |       7 |    9 |    7 |
| grade     | cd2 003 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | cd2 007 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | cd2 006 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | d8b 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 48b 001 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 48b 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 489 000 | -        | False      |       2 |       7 |       2 |       7 |    4 |   14 |
| grade     | 5b5 002 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| syllables | ea6 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | 36d 001 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 36d 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 15c 003 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| checksum  | ca9 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | 833 005 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 833 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 300 015 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| syllables | 3cf 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 3cf 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | 901 000 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | f29 002 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | f29 000 | -        | False      |      10 |       0 |       4 |       2 |   14 |    2 |
| digits    | ca5 003 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| syllables | dc1 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | d25 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | a0e 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | cb2 001 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | cb2 000 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| grade     | 98d 004 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| median    | d2b 001 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | d2b 000 | -        | False      |       3 |       3 |       3 |       4 |    6 |    7 |
| median    | af8 004 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | af8 007 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| grade     | 98d 008 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | bfa 005 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | 070 010 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| digits    | 1b3 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | bfa 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| digits    | bfa 003 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 1b3 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | d76 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 313 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| digits    | d76 007 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | d76 008 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 6aa 000 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| smallest  | 8c7 007 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| grade     | 89b 011 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | e23 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| digits    | 65e 015 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 2af 000 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| median    | b6f 001 | -        | False      |       6 |       0 |       5 |       2 |   11 |    2 |
| median    | b6f 000 | -        | False      |       5 |       1 |       5 |       2 |   10 |    3 |
| median    | b6f 002 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
|===========|=========|==========|============|=========|=========|=========|=========|======|======|
|         5 |     553 |      470 |          2 |    2960 |    1098 |    2554 |     884 | 5514 | 1982 |
